state,state
Alabama,2775
Alaska,765
Arizona,1145
Arkansas,1545
California,8237
Colorado,1630
Connecticut,1587
Delaware,718
District of Columbia,1641
Florida,8382
Georgia,3715
Hawaii,147
Idaho,320
Illinois,10172
Indiana,3004
Iowa,1249
Kansas,1162
Kentucky,2055
Louisiana,4070
Maine,437
Maryland,2885
Massachusetts,3316
Michigan,2687
Minnesota,1230
Mississippi,1889
Missouri,3292
Montana,329
Nebraska,825
Nevada,975
New Hampshire,481
New Jersey,2580
New Mexico,848
New York,4569
North Carolina,4253
North Dakota,284
Ohio,5165
Oklahoma,1768
Oregon,1067
Pennsylvania,4374
Rhode Island,431
South Carolina,3217
South Dakota,343
Tennessee,3900
Texas,6499
Utah,474
Vermont,165
Virginia,3060
Washington,1651
West Virginia,791
Wisconsin,2234
Wyoming,219
